ticker,date,side,quantity,strategy,avg_fill_price,arrival_price,market_vwap,implementation_shortfall_bps,vwap_slippage_bps,spread_cost_bps,impact_cost_bps,adverse_selection_cost_bps,timing_cost_bps,opportunity_cost_bps,fill_rate,execution_duration,placement_style,fill_model,parent_order_id,random_seed
SPY,2026-04-28,buy,765559.536,VWAP,724.3824480784307,711.4451293945312,710.688192551813,181.84562869816284,192.6900667569383,0.0,198.8225827354086,191.31655575539074,-9.34013481759504,0.4837539867150348,0.8322288063325131,0 days 05:30:00,midpoint_limit,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,VWAP,721.4934545660475,711.4451293945312,710.688192551813,141.238231261317,152.03941936106824,0.0,159.46235118675617,151.09955637175602,-9.845107534101238,2.1106532558589737,0.26800227826913703,0 days 05:15:00,passive_limit,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,VWAP,721.4934545660475,711.4451293945312,710.688192551813,141.238231261317,152.03941936106824,0.0,159.46235118675617,151.09955637175602,-9.845107534101238,2.1106532558589737,0.26800227826913703,0 days 05:15:00,primary_peg,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,VWAP,724.3824480784307,711.4451293945312,710.688192551813,181.84562869816284,192.6900667569383,0.0,198.8225827354086,191.31655575539074,-9.34013481759504,0.4837539867150348,0.8322288063325131,0 days 05:30:00,midpoint_peg,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,VWAP,726.5245256307501,711.4451293945312,710.688192551813,211.95445176569,222.83095800529293,1.5937864299691116,232.3593552427249,223.08467902701537,-11.098774937424762,0.24054161719430694,0.9165775262805864,0 days 05:20:00,adaptive_limit,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,POV,733.420679111232,711.4451293945312,710.688192551813,308.88608001860644,319.8658257961927,5.9479311337793135,334.6297406970342,0.0,-11.84589662584678,0.0,1.0,0 days 01:30:00,market,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,POV,733.420679111232,711.4451293945312,710.688192551813,308.88608001860644,319.8658257961927,5.9479311337793135,334.6297406970342,0.0,-11.84589662584678,0.0,1.0,0 days 01:30:00,marketable_limit,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,POV,733.3148884453545,711.4451293945312,710.688192551813,307.39909723516337,318.37725926327266,4.460948350334484,334.6297406970342,319.61413982056234,-11.84589662584678,0.0,1.0,0 days 01:30:00,aggressive_limit,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,POV,726.4849279494988,711.4451293945312,710.688192551813,211.39787080652346,222.27378424517883,0.0,233.32782689520667,223.68510530752064,-11.941897986668934,1.430833392968524,0.5037712703770698,0 days 01:30:00,midpoint_limit,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,POV,721.4803822116396,711.4451293945312,710.688192551813,141.0544875842887,151.85547998308388,0.0,162.93992603673172,153.9370435800845,-10.664755720290541,2.65449648965134,0.07939147400287887,0 days 01:25:00,passive_limit,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,POV,721.4803822116396,711.4451293945312,710.688192551813,141.0544875842887,151.85547998308388,0.0,162.93992603673172,153.9370435800845,-10.664755720290541,2.65449648965134,0.07939147400287887,0 days 01:25:00,primary_peg,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,POV,726.4849279494988,711.4451293945312,710.688192551813,211.39787080652346,222.27378424517883,0.0,233.32782689520667,223.68510530752064,-11.941897986668934,1.430833392968524,0.5037712703770698,0 days 01:30:00,midpoint_peg,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,POV,733.3148884453545,711.4451293945312,710.688192551813,307.39909723516337,318.37725926327266,4.460948350334484,334.6297406970342,319.61413982056234,-11.84589662584678,0.0,1.0,0 days 01:30:00,adaptive_limit,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,Adaptive,726.5613678630713,711.4451293945312,710.688192551813,212.47230241641475,223.3493602062484,3.389560683830106,230.47989850541137,0.0,-10.919123605180394,0.0,1.0,0 days 05:30:00,market,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
