timestamp,strategy,active_tickers,child_orders,total_quantity,total_notional
2026-04-28 12:10:00-04:00,Adaptive,1,2,43717.429540638106,31058173.14835951
2026-04-28 12:10:00-04:00,TWAP,1,2,22852.523462686568,16235118.076219538
2026-04-28 12:10:00-04:00,VWAP,1,2,14705.546980463652,10447261.63362415
2026-04-28 12:15:00-04:00,Adaptive,1,2,23694.2,16830820.07762451
2026-04-28 12:15:00-04:00,TWAP,1,2,22852.523462686568,16232947.755998105
2026-04-28 12:15:00-04:00,VWAP,1,2,16047.193042745797,11398883.222618293
2026-04-28 12:20:00-04:00,Adaptive,1,2,25900.0,18401950.0
2026-04-28 12:20:00-04:00,TWAP,1,2,22852.523462686568,16236717.920238806
2026-04-28 12:20:00-04:00,VWAP,1,2,15639.133010822698,11111604.004189527
2026-04-28 12:25:00-04:00,Adaptive,1,2,24338.800000000003,17288336.594262697
2026-04-28 12:25:00-04:00,TWAP,1,2,22852.523462686568,16232604.633392403
2026-04-28 12:25:00-04:00,VWAP,1,2,15350.64670166641,10903871.477559179
2026-04-28 12:30:00-04:00,Adaptive,1,2,17554.44054817855,12460495.261356706
2026-04-28 12:30:00-04:00,TWAP,1,2,22852.523462686568,16221181.16127574
2026-04-28 12:30:00-04:00,VWAP,1,2,12069.225454068139,8566979.173498416
2026-04-28 12:35:00-04:00,Adaptive,1,2,17748.35759197674,12596185.090032814
2026-04-28 12:35:00-04:00,TWAP,1,2,22852.523462686568,16218662.139219247
2026-04-28 12:35:00-04:00,VWAP,1,2,9887.47669311009,7017240.094153918
2026-04-28 12:40:00-04:00,Adaptive,1,2,17944.705388080343,12732307.339728437
2026-04-28 12:40:00-04:00,TWAP,1,2,22852.523462686568,16214551.641987523
2026-04-28 12:40:00-04:00,VWAP,1,2,8450.2553313272,5995709.912802663
2026-04-28 12:45:00-04:00,Adaptive,1,2,18143.717489237486,12877321.873626672
2026-04-28 12:45:00-04:00,TWAP,1,2,22852.523462686568,16219349.77923799
2026-04-28 12:45:00-04:00,VWAP,1,2,12123.00876252594,8604184.120726403
2026-04-28 12:50:00-04:00,Adaptive,1,2,27518.479248534284,19545270.301015068
2026-04-28 12:50:00-04:00,TWAP,1,2,22852.523462686568,16231229.353354916
2026-04-28 12:50:00-04:00,VWAP,1,2,10333.13688622275,7339212.013664237
2026-04-28 12:55:00-04:00,Adaptive,1,2,18235.476575997553,12950470.621181322
2026-04-28 12:55:00-04:00,TWAP,1,2,22852.523462686568,16229404.945353866
2026-04-28 12:55:00-04:00,VWAP,1,2,10287.610929980841,7306055.454905081
2026-04-28 13:00:00-04:00,Adaptive,1,2,13835.244150575216,9818318.99234524
2026-04-28 13:00:00-04:00,TWAP,1,2,22852.523462686568,16217521.18681492
2026-04-28 13:00:00-04:00,VWAP,1,2,13916.156739373668,9875739.417939005
2026-04-28 13:05:00-04:00,Adaptive,1,2,18829.241569792954,13366502.097504279
2026-04-28 13:05:00-04:00,TWAP,1,2,22852.523462686568,16222549.467276528
2026-04-28 13:05:00-04:00,VWAP,1,2,10074.522298658168,7151701.938563464
2026-04-28 13:10:00-04:00,Adaptive,1,2,35536.6,25230630.28696289
2026-04-28 13:10:00-04:00,TWAP,1,2,22852.523462686568,16225062.910103662
2026-04-28 13:10:00-04:00,VWAP,1,2,8900.18629647504,6319043.181718431
2026-04-28 13:15:00-04:00,Adaptive,1,2,18642.53084421923,13229672.468740089
2026-04-28 13:15:00-04:00,TWAP,1,2,22852.523462686568,16217293.833218459
2026-04-28 13:15:00-04:00,VWAP,1,2,14133.555613822416,10029878.086406589
2026-04-28 13:20:00-04:00,Adaptive,1,2,18876.30231612271,13400193.00138171
2026-04-28 13:20:00-04:00,TWAP,1,2,22852.523462686568,16222892.58988223
2026-04-28 13:20:00-04:00,VWAP,1,2,10829.785834557622,7688011.026542538
2026-04-28 13:25:00-04:00,Adaptive,1,2,38231.79541092975,27149162.370530747
2026-04-28 13:25:00-04:00,TWAP,1,2,22852.523462686568,16228033.849738399
2026-04-28 13:25:00-04:00,VWAP,1,2,47715.0,33883375.5670166
2026-04-28 13:30:00-04:00,Adaptive,1,2,37149.68956062241,26393183.331674386
2026-04-28 13:30:00-04:00,TWAP,1,2,22852.523462686568,16235689.94722904
2026-04-28 13:30:00-04:00,VWAP,1,2,17248.6374418566,12254381.00853075
2026-04-28 13:35:00-04:00,Adaptive,1,2,36112.08377676787,25661245.850128576
2026-04-28 13:35:00-04:00,TWAP,1,2,22852.523462686568,16239002.614662139
2026-04-28 13:35:00-04:00,VWAP,1,2,15542.346129687934,11044390.780304436
2026-04-28 13:40:00-04:00,Adaptive,1,2,42137.24588207229,29948203.942772154
2026-04-28 13:40:00-04:00,TWAP,1,2,22852.523462686568,16241973.554296875
2026-04-28 13:40:00-04:00,VWAP,1,2,35500.29087881006,25231121.04293162
2026-04-28 13:45:00-04:00,Adaptive,1,2,40254.98158724999,28610019.334345147
2026-04-28 13:45:00-04:00,TWAP,1,2,22852.523462686568,16241744.805893075
2026-04-28 13:45:00-04:00,VWAP,1,2,14234.030519493941,10116409.75380212
2026-04-28 13:50:00-04:00,Adaptive,1,2,26527.2,18856859.472363282
2026-04-28 13:50:00-04:00,TWAP,1,2,22852.523462686568,16244715.745527811
2026-04-28 13:50:00-04:00,VWAP,1,2,13163.679282456947,9357401.096555632
2026-04-28 13:55:00-04:00,Adaptive,1,2,31792.16418966919,22605183.435191546
2026-04-28 13:55:00-04:00,TWAP,1,2,22852.523462686568,16248830.427181553
2026-04-28 13:55:00-04:00,VWAP,1,2,18503.166265526736,13156306.851862423
2026-04-28 14:00:00-04:00,Adaptive,1,2,31122.855469886683,22124615.648400113
2026-04-28 14:00:00-04:00,TWAP,1,2,22852.523462686568,16245401.990739215
2026-04-28 14:00:00-04:00,VWAP,1,2,25550.037740858865,18163010.953977793
2026-04-28 14:05:00-04:00,Adaptive,1,2,36517.48375133371,25963565.415744703
2026-04-28 14:05:00-04:00,TWAP,1,2,22852.523462686568,16247915.433566349
2026-04-28 14:05:00-04:00,VWAP,1,2,24000.280514443948,17063959.208586764
2026-04-28 14:10:00-04:00,Adaptive,1,2,35056.78440128036,24926426.439896606
2026-04-28 14:10:00-04:00,TWAP,1,2,22852.523462686568,16248830.427181553
2026-04-28 14:10:00-04:00,VWAP,1,2,17773.52670087664,12637511.210833106
2026-04-28 14:15:00-04:00,Adaptive,1,2,33566.87106422595,23879472.894594025
2026-04-28 14:15:00-04:00,TWAP,1,2,22852.523462686568,16257285.74927816
2026-04-28 14:15:00-04:00,VWAP,1,2,25616.105359073354,18223297.97783798
2026-04-28 14:20:00-04:00,Adaptive,1,2,32045.172909314366,22796455.643033743
2026-04-28 14:20:00-04:00,TWAP,1,2,22852.523462686568,16256942.626672458
2026-04-28 14:20:00-04:00,VWAP,1,2,23512.664044788005,16726556.741117375
2026-04-28 14:25:00-04:00,Adaptive,1,2,30488.69308229053,21688131.07973451
2026-04-28 14:25:00-04:00,TWAP,1,2,22852.523462686568,16256142.007259155
2026-04-28 14:25:00-04:00,VWAP,1,2,24387.533747840247,17348071.53612739
2026-04-28 14:30:00-04:00,Adaptive,1,2,12039.124960699337,8560660.673981663
2026-04-28 14:30:00-04:00,TWAP,1,2,22852.523462686568,16249744.025989419
2026-04-28 14:30:00-04:00,VWAP,1,2,27284.495884802833,19401186.68864437
2026-04-28 14:35:00-04:00,Adaptive,1,2,14808.123701660186,10529538.516073646
2026-04-28 14:35:00-04:00,TWAP,1,2,22852.523462686568,16249629.651787518
2026-04-28 14:35:00-04:00,VWAP,1,2,26012.243588124617,18496396.050496284
2026-04-28 14:40:00-04:00,Adaptive,1,2,15023.514591866151,10687728.647438604
